Brand1,Bigram
bmw,Aspiration
audi,Aspiration
acura,Aspiration
honda,Aspiration
subaru,Aspiration
volkswagen,Aspiration
toyota,Aspiration
hyundai,Aspiration
cadillac,Aspiration
infiniti,Aspiration
