Brand1,Attributes
bmw,performance
bmw,engine
bmw,price
bmw,luxury
bmw,tech
bmw,comfortable
audi,performance
audi,engine
audi,price
audi,luxury
audi,tech
audi,comfortable
acura,performance
acura,engine
acura,price
acura,luxury
acura,tech
acura,comfortable
honda,performance
honda,engine
honda,price
honda,luxury
honda,tech
honda,comfortable
subaru,performance
subaru,engine
subaru,price
subaru,luxury
subaru,tech
subaru,comfortable
